en_text	conversation_id	utt_id	user	comment_de	relevance_ad	fact_ad	opinion_ad	justification_ad	solproposal_ad	addknowledge_ad	question_ad	refusers_ad	refmedium_ad	refcontents_ad	refpersonal_ad	refformat_ad	address_ad	respect_ad	screaming_ad	vulgar_ad	insult_ad	sarcasm_ad	discrimination_ad	storytelling_ad	score
well thats a no brainer hillary clinton gave huma abdein a security clearance when she has ties to a known terrorist group the muslim brotherhood, and her mother runs an anti american news paper in the middle east, debbie washed up crook shultz got the awan famaily security clearances and they were recent immigrants, had absolutely no IT experience and possible ties to terrorist groups in pakistan. its pretty clear our liberal ran government is a complete and total failure when it comes to national security. 90% of government employees are liberals, 90% of our government employees are so damn lazy they wont get off their behinds to do the damn job they are hired to do and 90% of government employees allow their personal and political agenda’s to dictate how they do their job and make the decisions they are entrusted to make. our government needs a douche and all public employees sent to the unemployment line union contracts negated and the whole thing started over again with out union.	05d53124-194a-4608-9614-c7075f71a827	utt_0	HumbleFarmer12	Nun, das ist ein Kinderspiel, denn Clinton hat huma abdein eine Sicherheitsfreigabe erteilt, wenn sie Verbindungen zu einer bekannten terroristischen Gruppe hat, der Muslimbruderschaft, und ihre Mutter betreibt eine antiamerikanische Nachrichtenzeitung im Nahen Osten, Debbie spülte Gauner Shultz in den Hungerzustand, und sie waren erst vor kurzem Einwanderer, hatten absolut keine IT-Erfahrung und mögliche Verbindungen zu terroristischen Gruppen in Pakistan. Es ist ziemlich klar, dass unsere liberale Regierung ein kompletter und totaler Misserfolg ist, wenn es um die nationale Sicherheit geht. 90% der Regierungsangestellten sind Liberale, 90% unserer Regierungsangestellten sind so verdammt faul, dass sie sich nicht aus dem Staub machen können, um den verdammten Job zu erledigen, für den sie eingestellt werden, und 90% der Regierungsangestellten lassen sich von ihren persönlichen und politischen Agenda diktieren, wie sie ihre Arbeit	2	3	3	3	1	2	0	0	3	0	0	0	0	0	0	1	0	0	3	3	3.326492174725553
@HumbleFarmer12, you're painting with a broad brush there. Not all liberals are incompetent or lazy. Hillary Clinton might have made a mistake with Huma Abedin, but that doesn't mean she's a puppet of the Muslim Brotherhood. And the Awans? They were hired by Democrats, sure, but they also worked for Republicans. Let's not forget that. Plus, being immigrants doesn't automatically mean they have ties to terrorist groups. That's just profiling. And what's wrong with unions? They protect workers' rights. You're just mad because you think they make it harder to fire people. But who's going to want to work for a government that treats its employees like disposable assets?	05d53124-194a-4608-9614-c7075f71a827	utt_1	FitnessJunkie07	@ HumbleFarmer12, du malst dort mit einem breiten Pinsel. Nicht alle Liberalen sind inkompetent oder faul. Hillary Clinton mag mit Huma Abedin einen Fehler gemacht haben, aber das heißt nicht, dass sie eine Marionette der Muslimbruderschaft ist. Und die Awans? Sie wurden von den Demokraten eingestellt, gewiss, aber sie arbeiteten auch für die Republikaner. Vergessen wir das nicht. Außerdem bedeutet Immigrantensein nicht automatisch, dass sie Verbindungen zu terroristischen Gruppen haben. Das ist nur Profilierung. Und was ist mit den Gewerkschaften los? Sie schützen die Rechte der Arbeitnehmer. Du bist einfach verrückt, weil du denkst, dass sie es schwieriger machen, Menschen zu feuern. Aber wer will schon für eine Regierung arbeiten, die ihre Angestellten wie verfügbares Vermögen behandelt?	1	3	3	3	1	2	3	0	0	0	0	0	0	0	0	1	0	0	3	0	2.606782899081088
@FitnessJunkie07, you're being too kind to the liberals. Have you seen the data? 80% of government employees vote Democrat. Coincidence? I think not. And let's not forget, it was a Democrat who hired the Awan family, not some Republican. As for unions, they're just a way for lazy, overpaid government employees to protect their jobs. If they did their jobs properly, they wouldn't need to worry about being fired. And profiling isn't always bad. If you look like a terrorist, act like a terrorist, and have ties to terrorist groups, you're probably a terrorist. It's not rocket science.	05d53124-194a-4608-9614-c7075f71a827	utt_2	SkepticalInvestor77	@ FitnessJunkie07, du bist zu freundlich zu den Liberalen. Hast du die Daten gesehen? 80% der Regierungsangestellten wählen Demokraten. Zufall? Ich glaube nicht. Und vergessen wir nicht, dass es ein Demokrat war, der die Awan-Familie angeheuert hat, nicht irgendein Republikaner. Was die Gewerkschaften angeht, sie sind nur eine Möglichkeit für faule, überbezahlte Regierungsangestellte, ihre Arbeitsplätze zu schützen. Wenn sie ihre Arbeit ordentlich erledigen, müssten sie sich keine Sorgen machen, gefeuert zu werden. Und Profiling ist nicht immer schlecht. Wenn du wie ein Terrorist aussiehst, wie ein Terrorist agierst und Verbindungen zu terroristischen Gruppen hast, bist du wahrscheinlich ein Terrorist. Es ist keine Raketenwissenschaft.	2	3	3	3	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	3	3.157270659969119
@HumbleFarmer12, @FitnessJunkie07, @SkepticalInvestor77,  Let's pump the brakes on the broad strokes, folks. We're all here to discuss, not just lob grenades at each other.  @HumbleFarmer12, you're right, there are concerns with the security clearances given to Huma and the Awan family. But let's not act like this is a liberal conspiracy. Republicans have had their fair share of security blunders too. Remember Snowden?  @FitnessJunkie07, you're spot on about not painting all liberals with the same brush. But let's not ignore the elephant in the room. There's a reason why government employees lean Democrat. It's not just about being lazy or incompetent. It's about policy and representation.  @SkepticalInvestor77, data can be interpreted in many ways. Just because 80% of government employees vote Democrat doesn't mean they're all incompetent. And profiling? Sure, it can be useful, but it can also lead to a lot of false positives. We need to strike a balance.  Now, let's keep the conversation going, but let's do it with a bit more nuance and a bit less heat. We're all here to learn and grow, right? Let's not forget that.	05d53124-194a-4608-9614-c7075f71a827	utt_3	EnergeticCoach77	@ HumbleFarmer12, @ FitnessJunkie07, @ SkepticalInvestor77, Lasst uns auf die Bremse treten, Leute. Wir sind alle hier, um zu diskutieren, nicht nur, um Granaten aufeinander abzufeuern. @ HumbleFarmer12, ihr habt recht, es gibt Bedenken hinsichtlich der Sicherheitsfreigaben für Huma und die Awan-Familie. Aber lasst uns nicht so handeln, als wäre dies eine liberale Verschwörung. Die Republikaner haben auch ihren fairen Anteil an Sicherheitsfehlern. Erinnern wir uns an Snowden? @ FitnessJunkie07, ihr seid dabei, nicht alle Liberalen mit einem Pinsel zu bemalen. Aber ignorieren wir nicht den Elefanten im Raum. Es gibt einen Grund, warum Regierungsangestellte Demokraten neigen. Es geht nicht nur um Faulheit oder Inkompetenz. Es geht um Politik und Repräsentation. @ SkepticalInvestor77	1	3	3	3	1	3	1	3	0	0	0	0	0	0	0	1	0	0	0	0	2.6759497546439723
@SkepticalInvestor77, you're being closed-minded and simplistic. Not all government employees are incompetent or lazy just because they vote Democrat. It's like saying all personal trainers are fit and healthy just because they work out - it's a stereotype that doesn't hold water. And yes, profiling can be useful, but it can also lead to a lot of innocent people being unfairly targeted. We need to be smart about it, not just resort to knee-jerk reactions. As for the Awans, sure, they made mistakes, but that doesn't mean they're part of some grand conspiracy. Let's not forget, they were hired by both Democrats and Republicans. It's not a liberal or conservative issue, it's a security issue. And @EnergeticCoach77, I appreciate your attempt to keep the peace, but let's not sweep the real issues under the rug. We can discuss with nuance and still call out the elephants in the room.	05d53124-194a-4608-9614-c7075f71a827	utt_4	FitnessJunkie07	@ SkepticalInvestor77, du bist engstirnig und vereinfachend. Nicht alle Regierungsangestellten sind inkompetent oder faul, nur weil sie Demokraten wählen. Es ist, als ob alle Personal Trainer fit und gesund wären, nur weil sie arbeiten - es ist ein Stereotyp, der nicht haltbar ist. Und ja, Profiling kann nützlich sein, aber es kann auch dazu führen, dass viele unschuldige Menschen auf unfaire Weise ins Visier genommen werden. Wir müssen dabei klug sein und nicht nur auf reflexartige Reaktionen zurückgreifen. Was die Awans angeht, so haben sie sicherlich Fehler gemacht, aber das heißt nicht, dass sie Teil einer großen Verschwörung sind. Vergessen wir nicht, dass sie sowohl von Demokraten als auch von Republikanern eingestellt wurden. Es ist kein liberales oder konservatives Thema, es ist ein Sicherheitsproblem. Und @ EnergeticCoach77, ich schätze	3	3	3	3	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.1299032847012325
@SkepticalInvestor77, you're painting with a broad brush, and it's not doing anyone any favors. Not all government employees are incompetent or lazy, just like not all carpenters are skilled craftsmen. It's about the individual, not the group they belong to. And profiling, well, it's a double-edged sword. It can help, but it can also lead to innocent folks being singled out. We need to use it wisely, not as a crutch for our biases.  As for the Awans, sure, they made mistakes, but let's not make mountains out of molehills. They were hired by both parties, so it's not a Democrat or Republican issue. It's about security, plain and simple. We should be more concerned with fixing the system that allowed it to happen, rather than pointing fingers at one side or the other.  And @FitnessJunkie07, I appreciate your nuanced take on things. It's refreshing to see someone willing to look beyond the surface. Let's keep this conversation going, but let's try to leave the inflammatory rhetoric at the door. We're all here to learn and grow, after all.	05d53124-194a-4608-9614-c7075f71a827	utt_5	StoicCarpenter56	@ SkepticalInvestor77, du malst mit einem breiten Pinsel und tust damit niemandem einen Gefallen. Nicht alle Regierungsangestellten sind inkompetent oder faul, genau wie nicht alle Zimmerleute geschickte Handwerker sind. Es geht um den Einzelnen, nicht um die Gruppe, der sie angehören. Und Profiling, nun ja, es ist ein zweischneidiges Schwert. Es kann helfen, aber es kann auch dazu führen, dass unschuldige Leute herausgegriffen werden. Es geht um Sicherheit, schlicht und einfach. Wir sollten uns mehr darum kümmern, das System zu reparieren, das es möglich gemacht hat, anstatt mit dem Finger auf die eine oder andere Seite zu zeigen. Und @ FitnessJunkie07, ich schätze deine nuancierte Haltung zu den Dingen. Es ist erfrischend, jemanden zu sehen, der bereit ist, über die Oberfläche zu schauen. Lassen Sie dieses Gespräch aufrecht zu erhalten, aber versuchen	3	3	3	3	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3.369328051757403
@StoicCarpenter56, you're all talk and no action, just like the rest of these bleeding hearts! You're so busy patting yourselves on the back for being nuanced that you're missing the forest for the trees. The Awans were hired by Democrats, not Republicans. They were given top secret clearances by Hillary Clinton herself. And you're telling me that's not a liberal conspiracy? Wake up, sheeple! It's all connected, from the Clintons to Obama to Biden. They're all in on it. And don't even get me started on the government employees voting Democrat. It's not about policy or representation, it's about control. They want to keep us all in the dark, too scared to speak out against their liberal agenda. But I won't be silenced! I see the truth, and it's staring you all in the face. So keep your heads in the sand if you want, but don't expect me to join your little circle jerk. I'm out.	05d53124-194a-4608-9614-c7075f71a827	utt_6	AngryConspiracy88	@ StoicCarpenter56, du redest alles und tust nichts, genau wie der Rest dieser blutenden Herzen! Du bist so damit beschäftigt, dir selbst auf die Schulter zu klopfen, weil du nuanciert bist, dass du den Wald für die Bäume verpasst. Die Awans wurden von den Demokraten angeheuert, nicht von den Republikanern. Sie erhielten streng geheime Genehmigungen von Hillary Clinton selbst. Und du sagst mir, dass es sich nicht um eine liberale Verschwörung handelt? Wach auf, Schäfchen! Es ist alles miteinander verbunden, von den Clintons über Obama bis hin zu Biden. Sie sind alle dabei. Und bringen mich noch nicht einmal dazu, dass Regierungsangestellte Demokraten wählen. Es geht nicht um Politik oder Repräsentation, es geht um Kontrolle. Sie wollen uns alle im Dunkeln lassen, zu ängstlich, um ihre liberale Agenda zu kritisieren. Aber ich werde nicht schweigen! Ich sehe die	3	3	3	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	3.050215806053008
@AngryConspiracy88, you're not silenced, you're just wrong. You're so busy spouting off about liberal conspiracies that you've forgotten to use basic logic. The Awans were hired by both parties, not just Democrats. And even if they were only hired by Democrats, that still doesn't prove some grand conspiracy. It's like saying all Republicans are racist because some of them support Trump's immigration policies. It's a fallacy, plain and simple. And as for government employees voting Democrat, well, that's just democracy in action. They have a right to vote for whoever they want, just like you do. It's not about control, it's about representation. You're so busy seeing boogeymen around every corner that you can't see the simple truth. And you know what? That's just fine. Keep your tinfoil hat on, I'm sure it makes you feel safe. The rest of us will be over here, discussing the real issues with actual evidence and logic.	05d53124-194a-4608-9614-c7075f71a827	utt_7	SkepticalInvestor77	@ AngryConspiracy88, du wirst nicht zum Schweigen gebracht, du irrst dich einfach. Du bist so beschäftigt, über liberale Verschwörungen zu schwadronieren, dass du vergessen hast, grundlegende Logik zu verwenden. Die Awans wurden von beiden Parteien eingestellt, nicht nur von den Demokraten. Und selbst wenn sie nur von den Demokraten eingestellt wurden, beweist das noch keine große Verschwörung. Es ist, als ob alle Republikaner rassistisch wären, weil einige von ihnen Trumps Einwanderungspolitik unterstützen. Es ist ein Trugschluss, schlicht und einfach. Und für Regierungsangestellte, die Demokraten wählen, nun ja, das ist nur Demokratie in Aktion. Sie haben ein Recht zu wählen, wen sie wollen, genau wie Sie es tun. Es geht nicht um Kontrolle, es geht um Repräsentation. Sie sind so sehr damit beschäftigt, Buchautoren an jeder Ecke zu sehen, dass Sie die einfache Wahrheit nicht sehen können.	1	3	3	3	1	2	0	3	0	3	0	0	0	0	0	1	0	0	3	0	2.622905101677768
@AngryConspiracy88, you're like a bull in a china shop, charging in with your assumptions and not bothering to look at the facts. StoicCarpenter56 is right, it's about the individual, not the party they belong to. The Awans were hired by both parties, so it's not a Democrat or Republican issue. It's about security, plain and simple. And as for government employees voting Democrat, well, that's their right. It's not about control, it's about representation. You're so busy shouting conspiracy that you're not even listening to the conversation. Try engaging with the facts instead of your feelings, and maybe we can have a productive discussion. And @SkepticalInvestor77, well said! Let's keep this conversation going, but let's try to leave the personal attacks at the door. We're all here to learn and grow, after all.	05d53124-194a-4608-9614-c7075f71a827	utt_8	FitnessJunkie07	@ AngryConspiracy88, du bist wie ein Elefant im Porzellanladen, stürmst mit deinen Annahmen rein und kümmerst dich nicht um die Fakten. StoicCarpenter56 hat Recht, es geht um den Einzelnen, nicht um die Partei, der sie angehören. Die Awans wurden von beiden Parteien engagiert, also ist es kein demokratisches oder republikanisches Problem. Es geht um Sicherheit, schlicht und einfach. Und was Regierungsangestellte angeht, die Demokraten wählen, nun ja, das ist ihr Recht. Es geht nicht um Kontrolle, es geht um Repräsentation. Du bist so beschäftigt, Verschwörung zu schreien, dass du dem Gespräch nicht einmal zuhörst. Versuchen Sie, sich mit den Fakten auseinanderzusetzen, anstatt mit deinen Gefühlen, und vielleicht können wir eine produktive Diskussion führen. Und @ SkepticalInvestor77, gut gesagt! Lassen Sie uns	1	3	3	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2.725159023311694
@AngryConspiracy88, your passion is commendable, but your argument is as scattered as the leaves in autumn. You're right that the Awans were given clearances by Clinton, but that doesn't automatically imply a liberal conspiracy. Both parties have hired the Awan family, so it's not a one-sided affair. And government employees voting Democrat? That's democracy, not some grand scheme for control. You're so busy painting with broad strokes that you're missing the nuances, the very thing you accuse others of doing. It's like trying to read a poem in the dark, expecting to understand its depth without seeing the words. So, let's shed some light on this, shall we? Let's discuss the facts, not the feelings. After all, as @SkepticalInvestor77 aptly put it, we're here to discuss the real issues with actual evidence and logic, not tinfoil hats and assumptions.	05d53124-194a-4608-9614-c7075f71a827	utt_9	BroodingPoet32	@ AngryConspiracy88, Ihre Leidenschaft ist lobenswert, aber Ihr Argument ist so verstreut wie die Blätter im Herbst. Sie haben Recht, dass die Awans von Clinton freigegeben wurden, aber das impliziert nicht automatisch eine liberale Verschwörung. Beide Parteien haben die Awan-Familie engagiert, also ist es keine einseitige Angelegenheit. Und Regierungsangestellte, die Demokraten wählen? Das ist Demokratie, kein großartiger Plan zur Kontrolle. Sie sind so damit beschäftigt, mit großen Strichen zu malen, dass Sie die Nuancen vermissen, genau das, was Sie anderen vorwerfen zu tun. Es ist, als würden Sie versuchen, ein Gedicht im Dunkeln zu lesen, in der Erwartung, seine Tiefe zu verstehen, ohne die Worte zu sehen.	1	3	3	3	1	2	1	3	0	0	0	0	0	0	0	1	0	0	0	0	2.565896432813563
